Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Necklace design (product.metafields.shopify.necklace-design),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
18k-gold-lab-grown-diamond-solitaire-engagement-ring-0-50ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-50ct-rose-gold_88fa142f-97f7-4252-bdda-6d742c6fd8bc.png?v=1766512581,5,18K Gold Lab-Grown Diamond Solitaire Engagement Ring - 1.50ct Rose Gold,,,,,,,,,,,,,,,,
timeless-diamond-stud-earrings-18k-gold-1-00ct,Timeless Diamond Stud Earrings – 18K Gold – 1.00ct,"Experience true luxury with these magnificent 1.00 carat diamond stud earrings. These show-stopping earrings deliver impressive presence while maintaining the timeless elegance of classic design.<br><br>Available in 18K Yellow, White, and Rose Gold, each pair features a full 1.00 carat total weight of lab-grown diamonds (D-VS2 clarity). Handcrafted in Antwerp with master craftsmanship.<br><br>Features:<br>• Total Carat Weight: 1.00ct (0.50ct per earring)<br>• Diamond Quality: D color, VS2 clarity, lab-grown<br>• Metal: 18K Gold (available in Yellow, White, or Rose Gold)<br>• Setting: Classic 4-prong stud setting<br>• Backing: Secure screw-back closure<br>• Certification: Includes official diamond certificate (HRD, IGI, or GIA)<br><br>Why You'll Love Them:<br>✓ Full carat weight with maximum presence<br>✓ Timeless design enhanced by impressive size<br>✓ Ethically sourced lab-grown diamonds<br>✓ Exceptional D color grade - perfectly colorless<br>✓ VS2 clarity - flawless to the naked eye<br>✓ Handcrafted in Antwerp by master artisans<br>✓ Includes luxurious presentation box<br><br>Available Diamond Shapes:<br>• Round (Classic)<br>• Princess<br>• Cushion<br>• Oval<br>• Emerald<br>• Pear<br>• Radiant<br>• Asscher<br><br>Also available with natural diamonds - price on request.<br>Can be personalized with your birthstone for a meaningful gift.<br><br>Perfect holiday gift idea!<br><br>Price includes tax and official diamond certification.<br>Includes luxury packaging and free worldwide shipping.",Diamonds by CS,Apparel & Accessories > Jewelry > Earrings,Diamond Earrings,"1.00ct, 18k gold, birthstone, D-VS2, Earrings, gift idea, handcrafted, Lab-Grown Diamond, rose gold, studs, timeless, white gold, yellow gold",true,Metal Color,Yellow Gold,,,,,,,,EARRING-100-YG,0.0,,continue,manual,890.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/timeless-diamond-stud-earrings-18k-gold-1-00ct.png?v=1766513366,1,Timeless Diamond Stud Earrings – 18K Gold – 1.00ct,false,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/timeless-diamond-stud-earrings-18k-gold-1-00ct.png?v=1766513366,kg,,,active
timeless-diamond-stud-earrings-18k-gold-1-00ct,,,,,,,,,White Gold,,,,,,,,EARRING-100-WG,0.0,,continue,manual,890.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/timeless-diamond-stud-earrings-18k-gold-1-00ct-white-gold.png?v=1766513466,2,Timeless Diamond Stud Earrings – 18K Gold – 1.00ct White gold,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/timeless-diamond-stud-earrings-18k-gold-1-00ct-white-gold.png?v=1766513466,kg,,,
timeless-diamond-stud-earrings-18k-gold-1-00ct,,,,,,,,,Rose Gold,,,,,,,,EARRING-100-RG,0.0,,continue,manual,890.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/timeless-diamond-stud-earrings-18k-gold-1-00ct-rose-gold_8dca2782-c28a-404d-902b-f4f3ed1f7f91.png?v=1766513519,3,Timeless Diamond Stud Earrings – 18K Gold – 1.00ct Rose Gold,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/timeless-diamond-stud-earrings-18k-gold-1-00ct-rose-gold_8dca2782-c28a-404d-902b-f4f3ed1f7f91.png?v=1766513519,kg,,,
timeless-diamond-stud-earrings-18k-gold-0-50ct,Timeless Diamond Stud Earrings – 18K Gold – 0.50ct,"Make a statement with these stunning 0.50 carat diamond stud earrings. Elegant, timeless, and designed for everyday wear — these earrings combine classic beauty with noticeable presence.<br><br>Available in 18K Yellow, White, and Rose Gold, each pair features 0.50 carat total weight of lab-grown diamonds (D-VS2 clarity). Handcrafted in Antwerp with meticulous attention to detail.<br><br>Features:<br>• Total Carat Weight: 0.50ct (0.25ct per earring)<br>• Diamond Quality: D color, VS2 clarity, lab-grown<br>• Metal: 18K Gold (available in Yellow, White, or Rose Gold)<br>• Setting: Classic 4-prong stud setting<br>• Backing: Secure screw-back or push-back closure<br>• Certification: Includes official diamond certificate (HRD, IGI, or GIA)<br><br>Why You'll Love Them:<br>✓ Perfect balance of size and elegance<br>✓ Timeless design that never goes out of style<br>✓ Ethically sourced lab-grown diamonds<br>✓ Exceptional D color grade - perfectly colorless<br>✓ VS2 clarity - eye-clean with brilliant fire<br>✓ Handcrafted in Antwerp's diamond district<br>✓ Includes elegant presentation box<br><br>Available Diamond Shapes:<br>• Round (Classic)<br>• Princess<br>• Cushion<br>• Oval<br>• Emerald<br>• Pear<br>• Radiant<br>• Asscher<br><br>Also available with natural diamonds - price on request.<br>Can be personalized with your birthstone for a meaningful gift.<br><br>Perfect holiday gift idea!<br><br>Price includes tax and official diamond certification.<br>Includes luxury packaging and free worldwide shipping.",Diamonds by CS,Apparel & Accessories > Jewelry > Earrings,Diamond Earrings,"0.50ct, 18k gold, birthstone, D-VS2, Earrings, gift idea, handcrafted, Lab-Grown Diamond, rose gold, studs, timeless, white gold, yellow gold",true,Metal Color,Yellow Gold,,,,,,,,EARRING-050-YG,0.0,,continue,manual,590.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/timeless-diamond-stud-earrings-18k-gold-1-00ct.png?v=1766513366,1,Timeless Diamond Stud Earrings – 18K Gold – 1.00ct,false,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/timeless-diamond-stud-earrings-18k-gold-1-00ct.png?v=1766513366,kg,,,active
timeless-diamond-stud-earrings-18k-gold-0-50ct,,,,,,,,,White Gold,,,,,,,,EARRING-050-WG,0.0,,continue,manual,590.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/timeless-diamond-stud-earrings-18k-gold-1-00ct-white-gold.png?v=1766513466,2,Timeless Diamond Stud Earrings – 18K Gold – 1.00ct White gold,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/timeless-diamond-stud-earrings-18k-gold-1-00ct-white-gold.png?v=1766513466,kg,,,
timeless-diamond-stud-earrings-18k-gold-0-50ct,,,,,,,,,Rose Gold,,,,,,,,EARRING-050-RG,0.0,,continue,manual,590.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/timeless-diamond-stud-earrings-18k-gold-1-00ct-rose-gold_8dca2782-c28a-404d-902b-f4f3ed1f7f91.png?v=1766513519,3,Timeless Diamond Stud Earrings – 18K Gold – 1.00ct Rose Gold,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/timeless-diamond-stud-earrings-18k-gold-1-00ct-rose-gold_8dca2782-c28a-404d-902b-f4f3ed1f7f91.png?v=1766513519,kg,,,
timeless-diamond-stud-earrings-18k-gold-0-30ct,Timeless Diamond Stud Earrings – 18K Gold – 0.30ct,"Elegant, timeless, and designed for everyday wear — these diamond stud earrings embody classic beauty in its purest form.<br><br>Available in 18K Yellow, White, and Rose Gold, each pair features 0.30 carat total weight of lab-grown diamonds (D-VS2 clarity). Handcrafted in Antwerp with meticulous attention to detail.<br><br>Features:<br>• Total Carat Weight: 0.30ct (0.15ct per earring)<br>• Diamond Quality: D color, VS2 clarity, lab-grown<br>• Metal: 18K Gold (available in Yellow, White, or Rose Gold)<br>• Setting: Classic 4-prong stud setting<br>• Backing: Secure screw-back or push-back closure<br>• Certification: Includes official diamond certificate (HRD, IGI, or GIA)<br><br>Why You'll Love Them:<br>✓ Perfect for everyday wear<br>✓ Timeless design that never goes out of style<br>✓ Ethically sourced lab-grown diamonds<br>✓ Exceptional D color grade - perfectly colorless<br>✓ VS2 clarity - eye-clean with brilliant sparkle<br>✓ Handcrafted in Antwerp's diamond district<br>✓ Includes elegant presentation box<br><br>Available Diamond Shapes:<br>• Round (Classic)<br>• Princess<br>• Cushion<br>• Oval<br>• Emerald<br>• Pear<br>• Radiant<br>• Asscher<br><br>Also available with natural diamonds - price on request.<br>Can be personalized with your birthstone for a meaningful gift.<br><br>Perfect holiday gift idea!<br><br>Price includes tax and official diamond certification.<br>Includes luxury packaging and free worldwide shipping.",Diamonds by CS,Apparel & Accessories > Jewelry > Earrings,Diamond Earrings,"0.30ct, 18k gold, birthstone, D-VS2, Earrings, gift idea, handcrafted, Lab-Grown Diamond, rose gold, studs, timeless, white gold, yellow gold",true,Metal Color,Yellow Gold,,,,,,,,EARRING-030-YG,0.0,,continue,manual,490.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/timeless-diamond-stud-earrings-18k-gold-1-00ct.png?v=1766513366,1,Timeless Diamond Stud Earrings – 18K Gold – 1.00ct,false,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/timeless-diamond-stud-earrings-18k-gold-1-00ct.png?v=1766513366,kg,,,active
timeless-diamond-stud-earrings-18k-gold-0-30ct,,,,,,,,,White Gold,,,,,,,,EARRING-030-WG,0.0,,continue,manual,490.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/timeless-diamond-stud-earrings-18k-gold-1-00ct-white-gold.png?v=1766513466,2,Timeless Diamond Stud Earrings – 18K Gold – 1.00ct White gold,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/timeless-diamond-stud-earrings-18k-gold-1-00ct-white-gold.png?v=1766513466,kg,,,
timeless-diamond-stud-earrings-18k-gold-0-30ct,,,,,,,,,Rose Gold,,,,,,,,EARRING-030-RG,0.0,,continue,manual,490.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/timeless-diamond-stud-earrings-18k-gold-1-00ct-rose-gold_8dca2782-c28a-404d-902b-f4f3ed1f7f91.png?v=1766513519,3,Timeless Diamond Stud Earrings – 18K Gold – 1.00ct Rose Gold,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/timeless-diamond-stud-earrings-18k-gold-1-00ct-rose-gold_8dca2782-c28a-404d-902b-f4f3ed1f7f91.png?v=1766513519,kg,,,
timeless-diamond-necklace-18k-gold-1-00ct,Timeless Diamond Necklace – 18K Gold – 1.00ct,"Make a statement with this breathtaking 1.00 carat diamond necklace. The Timeless Diamond Necklace features a full carat brilliant-cut diamond suspended on a delicate 18K gold chain — combining impressive presence with elegant refinement.<br><br>Handcrafted in Antwerp with master craftsmanship, this necklace is the ultimate symbol of luxury and sophistication. The substantial 1.00 carat diamond pendant creates stunning sparkle that draws admiring glances, perfect for both everyday elegance and special occasions.<br><br>Features:<br>• Center Stone: 1.00 carat brilliant-cut lab-grown diamond (D color, VS2 clarity)<br>• Metal: 18K Gold (available in Yellow, White, or Rose Gold)<br>• Chain Length: 16-18 inches adjustable<br>• Chain Style: Delicate cable chain<br>• Setting: Four-prong basket setting<br>• Certification: Includes official diamond certificate (HRD, IGI, or GIA)<br><br>Why You'll Love It:<br>✓ Full carat center stone with maximum presence<br>✓ Timeless design enhanced by impressive size<br>✓ Ethically sourced lab-grown diamond<br>✓ Exceptional D color grade - perfectly colorless<br>✓ VS2 clarity - flawless to the naked eye<br>✓ Handcrafted in Antwerp by master artisans<br>✓ Includes luxurious presentation box<br><br>Available Diamond Shapes:<br>• Round (Classic)<br>• Princess<br>• Cushion<br>• Oval<br>• Emerald<br>• Pear<br>• Heart<br>• And more custom shapes<br><br>Also available with natural diamonds - price on request.<br>The ultimate luxury gift that will be treasured forever!<br><br>Price includes tax and official diamond certification.<br>Includes luxury packaging and free worldwide shipping.",Diamonds by CS,Apparel & Accessories > Jewelry > Necklaces,Diamond Necklace,"1.00ct, 18k gold, D-VS2, diamond necklace, gift idea, handcrafted, Lab-Grown Diamond, Necklace, rose gold, timeless, white gold, yellow gold",true,Metal Color,Yellow Gold,,,,,,,,NECKLACE-100-YG,0.0,,continue,manual,1190.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/unnamed_6.jpg?v=1761490627,1,"",false,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/unnamed_6.jpg?v=1761490627,kg,,,active
timeless-diamond-necklace-18k-gold-1-00ct,,,,,,,,,White Gold,,,,,,,,NECKLACE-100-WG,0.0,,continue,manual,1190.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/unnamed_5.jpg?v=1761490616,2,"",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/unnamed_5.jpg?v=1761490616,kg,,,
timeless-diamond-necklace-18k-gold-1-00ct,,,,,,,,,Rose Gold,,,,,,,,NECKLACE-100-RG,0.0,,continue,manual,1190.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/unnamed_7.jpg?v=1761490646,3,"",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/unnamed_7.jpg?v=1761490646,kg,,,
timeless-diamond-necklace-18k-gold-0-50ct,Timeless Diamond Necklace – 18K Gold – 0.50ct,"A minimalist masterpiece designed for everyday wear. The Timeless Diamond Necklace features a stunning 0.50 carat brilliant-cut diamond suspended on a delicate 18K gold chain — elegant, versatile, and perfect for any occasion.<br><br>Handcrafted in Antwerp with meticulous attention to detail, this necklace combines timeless design with ethical luxury. The single diamond pendant catches the light beautifully, creating subtle sparkle that complements any outfit.<br><br>Features:<br>• Center Stone: 0.50 carat brilliant-cut lab-grown diamond (D color, VS2 clarity)<br>• Metal: 18K Gold (available in Yellow, White, or Rose Gold)<br>• Chain Length: 16-18 inches adjustable<br>• Chain Style: Delicate cable chain<br>• Setting: Four-prong basket setting<br>• Certification: Includes official diamond certificate (HRD, IGI, or GIA)<br><br>Why You'll Love It:<br>✓ Perfect for everyday wear and special occasions<br>✓ Timeless, minimalist design that never goes out of style<br>✓ Ethically sourced lab-grown diamond<br>✓ Exceptional D color grade - perfectly colorless<br>✓ VS2 clarity - eye-clean with brilliant fire<br>✓ Handcrafted in Antwerp's diamond district<br>✓ Includes elegant presentation box<br><br>Available Diamond Shapes:<br>• Round (Classic)<br>• Princess<br>• Cushion<br>• Oval<br>• Emerald<br>• Pear<br>• Heart<br>• And more custom shapes<br><br>Also available with natural diamonds - price on request.<br>Perfect holiday gift idea for someone special!<br><br>Price includes tax and official diamond certification.<br>Includes luxury packaging and free worldwide shipping.",Diamonds by CS,Apparel & Accessories > Jewelry > Necklaces,Diamond Necklace,"0.50ct, 18k gold, D-VS2, diamond necklace, gift idea, handcrafted, Lab-Grown Diamond, Necklace, rose gold, timeless, white gold, yellow gold",true,Metal Color,Yellow Gold,,,,,,,,NECKLACE-050-YG,0.0,,continue,manual,750.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/unnamed_5.jpg?v=1761490616,1,"",false,,,,,,,,,,,,kg,,,active
